Rank,book title,book price,rating,author,year of publication,genre,url,image 
85,Paint by Sticker Kids: Christmas: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,6.06,4.8,Workman Publishing,2019,Childrens Literature,amazon.com/Paint-Sticker-Kids-Workman-Publishing/dp/152350675X/ref=zg_bs_g_books_sccl_85/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/81GXl0dweAL._SL1500_.jpg
87,The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),15.79,4.6,Suzanne Collins,2020,"Adventure, War, Science Fiction, Romance, Action, Thriller",amazon.com/Ballad-Songbirds-Snakes-Hunger-Games/dp/1338635174/ref=zg_bs_g_books_sccl_87/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/819tY-gDcWL._SL1500_.jpg
88,"A Court of Wings and Ruin (A Court of Thorns and Roses, 3)",11.56,4.8,Sarah J. Maas,2017,Fantasy,amazon.com/Court-Wings-Ruin-Thorns-Roses/dp/1635575605/ref=zg_bs_g_books_sccl_88/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/81U27X4m6EL._SL1500_.jpg
89,The Shadow Work Journal 2nd Edition: a Guide to Integrate and Transcend Your Shadows: The Essential Guidebook for Shadow Work,18.46,4.7,Keila Shaheen,2023,Self Help,amazon.com/Shadow-Work-Journal-2nd-Integrate/dp/B0BW31X61X/ref=zg_bs_g_books_sccl_89/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/61aYD5zeQpL._SL1360_.jpg
90,"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (MinaLima Edition)",25.97,4.9,J.K. Rowling,1999,Fantasy,amazon.com/Harry-Potter-Prisoner-Azkaban-MinaLima/dp/1338815288/ref=zg_bs_g_books_sccl_90/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/71NaVwWsRDL._SL1038_.jpg
91,"Moo, Baa, La La La!",3.69,4.9,Sandra Boynton,1982,"Childrens literature, picture book",amazon.com/Moo-Baa-Sandra-Boynton/dp/067144901X/ref=zg_bs_g_books_sccl_91/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/61Pkr5zTX0L._SL1400_.jpg
92,The Coworker,9.44,4.2,Freida McFadden,2023,"Thriller, Mystery",amazon.com/Coworker-Freida-McFadden/dp/172829620X/ref=zg_bs_g_books_sccl_92/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/81JfFNg-UfL._SL1500_.jpg
93,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,6.31,4.7,Robert Kiyosaki,1997,Personal Finance,amazon.com/Rich-Dad-Poor-Teach-Middle/dp/1612681131/ref=zg_bs_g_books_sccl_93/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/81BE7eeKzAL._SL1500_.jpg
94,Percy Jackson and the Olympians: The Chalice of the Gods (Percy Jackson & the Olympians),15.63,4.7,Rick Riordan,2023,"Fantasy, Adventure, Mythology",amazon.com/Percy-Jackson-Olympians-Chalice-Gods/dp/1368098177/ref=zg_bs_g_books_sccl_94/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/91IRQJWRVVL._SL1500_.jpg
95,Paw Patrol Phonics: 12 Books in 1,8.25,4.6,Jennifer Liberts,2015,Childrens,amazon.com/Patrol-Phonics-Step-into-Reading/dp/0553508784/ref=zg_bs_g_books_sccl_95/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/71fBekGUVIL._SL1500_.jpg
96,First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning R,11.4,4.7,Deborah Schecter,2010,Nonfiction,amazon.com/First-Little-Readers-Parent-Pack/dp/0545231493/ref=zg_bs_g_books_sccl_96/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/71eUoeoSoBL._SL1088_.jpg
97,Hatchet,5.14,4.7,Gary Paulsen,1987," young adult novel, adventure novel, survival story",amazon.com/Hatchet-Gary-Paulsen/dp/1416936475/ref=zg_bs_g_books_sccl_97/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/81TZunL8kQL._SL1500_.jpg
98,"The Wager: A Tale of Shipwreck, Mutiny and Murder",15.3,4.5,David Grann,2023,Nonfiction,amazon.com/Wager-Tale-Shipwreck-Mutiny-Murder/dp/0385534264/ref=zg_bs_g_books_sccl_98/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/91lUa7PChXL._SL1500_.jpg
99,"I'm Dead, Now What?: Important Information About My Belongings, Business Affairs, and Wishes",12.99,4.6,Peter Pauper Press,2015,Nonfiction,amazon.com/Important-Information-Belongings-Business-Affairs/dp/1441317996/ref=zg_bs_g_books_sccl_99/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/91S4LjHL2uL._SL1500_.jpg
100,The Wonky Donkey,5.28,4.8,Craig Smith,2009,"Childrens, Picture Books",amazon.com/Wonky-Donkey-Craig-Smith/dp/0545261244/ref=zg_bs_g_books_sccl_100/142-7825522-0098658?psc=1,https://m.media-amazon.com/images/I/71RrZCD04IL._SL1200_.jpg
